AMF,DISTURB,nem,TRATC,number ,galls ,masses,shootfresh,rootfresh,rootfreshcut,medicion,gallsperrootfres,shootdry,rootcutdry,rootdry,conteo1,conteo2,conteo3,rf,fr,coloniza,arbus,vesicles,hyphaes,relarbus,relvesic
MO,D,NN,modnn,3,,,20.8,12.4,8.9,,,2.9,1.4,1.950561798,,,,,,3,2,0,1,66.66666667,0
MO,D,NN,modnn,4,,,27.5,8.9,5.7,,,3.7,0.8,1.249122807,,,,,,0,0,0,0,0,0
MO,D,NN,modnn,5,,,12.1,6.9,4.8,,,1.8,0.8,1.15,,,,,,3,2,0,1,66.66666667,0
MO,D,NN,modnn,6,,,10,3.6,1.7,,,1.7,0.2,0.423529412,,,,,,2,0,0,2,0,1
MO,D,NN,modnn,7,,,12.5,5.4,3.1,,,2.1,0.5,0.870967742,,,,,,0,0,0,,0,0
MO,D,NN,modnn,8,,,14.3,3.4,1.3,,,2.1,0.2,0.523076923,,,,,,4,4,0,0,100,2
MO,N,NN,MONNN,1,,,17.6,14.2,11.1,,,3.1,2.5,3.198198198,,,,,,1,0,0,1,0,0
MO,N,NN,MONNN,3,,,11.5,9.2,7.2,,,1.9,1.7,2.172222222,,,,,,0,0,0,0,0,0
MO,N,NN,MONNN,4,,,10.8,9.2,6.2,,,1.3,1.2,1.780645161,,,,,,0,0,0,0,0,0
MO,N,NN,MONNN,5,,,15.6,7,4.8,,,1.6,0.9,1.3125,,,,,,0,0,0,0,0,0
MO,N,NN,MONNN,7,,,13.3,9.4,6.9,,,2.4,1.1,1.498550725,,,,,,0,0,0,0,0,0
MO,N,NN,MONNN,8,,,15.3,9.6,7.4,,,2.2,1.2,1.556756757,,,,,,0,0,0,0,0,0
MO,D,nem,MODNEM,1,30,16,24.9,9.6,7,normal,3.125,4.8,0.8,1.097142857,172,338,321,,2770,0,0,0,0,0,0
MO,D,nem,MODNEM,2,33,19,21.2,10,7.6,normal,3.3,3.6,0.9,1.184210526,,,,,,0,0,0,0,0,0
MO,D,nem,MODNEM,4,15,1,7.6,4.5,2.4,normal,3.333333333,1.1,0.2,0.375,0,0,0,,0,0,0,0,0,0,0
MO,D,nem,MODNEM,5,44,22,19.8,5.5,3.8,normal,8,2.6,0.4,0.578947368,701,673,634,,6693,0,0,0,0,0,0
MO,D,nem,MODNEM,6,22,8,18.2,6.7,4.3,normal,3.28358209,3.2,0.4,0.623255814,101,125,132,,1193,1,1,0,0,100,0
MO,D,nem,MODNEM,8,14,6,12.9,6.6,4.7,normal,2.121212121,2.1,0.5,0.70212766,15,106,152,,910,2,1,0,1,50,0
MO,N,nem,MONNEM,1,62,15,13.9,9.6,7.1,normal,6.458333333,2.5,0.6,0.811267606,308,451,502,,4203,0,0,0,0,0,0
MO,N,nem,MONNEM,2,64,29,15.6,9.6,7.1,normal,6.666666667,2.1,0.8,1.081690141,148,499,536,,3943,0,0,0,0,0,0
MO,N,nem,MONNEM,3,47,12,13.2,6.8,5.1,normal,6.911764706,1.8,0.5,0.666666667,39,183,213,,1450,0,0,0,0,0,0
MO,N,nem,MONNEM,4,40,16,13.5,8.7,7.1,normal,4.597701149,2.4,1.1,1.347887324,95,,,,950,0,0,0,0,0,0
MO,N,nem,MONNEM,5,54,33,16.5,5.8,4.3,normal,9.310344828,2,0.4,0.539534884,44,635,532,,4037,0,0,0,0,0,0
MO,N,nem,MONNEM,7,47,16,14.1,8.6,6.8,normal,5.465116279,1.5,0.8,1.011764706,248,,,,2480,0,0,0,0,0,0
MO,N,nem,MONNEM,8,26,6,7.2,4.8,3.5,normal,5.416666667,1.1,0.3,0.411428571,46,59,54,,530,0,0,0,0,0,0
HMA,D,NN,HMADNN,1,,,10.3,7.9,5.7,,,2.2,1,1.385964912,,,,,,19,13,2,4,68.42105263,10.52631579
HMA,D,NN,HMADNN,2,,,16.3,11.7,9.2,,,2.8,1.5,1.907608696,,,,,,63,21,1,41,33.33333333,1.587301587
HMA,D,NN,HMADNN,3,,,17.7,11.6,8.6,,,3.1,1.1,1.48372093,,,,,,53,7,12,34,13.20754717,22.64150943
HMA,D,NN,HMADNN,4,,,21.4,11.6,9.5,,,3.7,1.2,1.465263158,,,,,,28,16,2,10,57.14285714,7.142857143
HMA,D,NN,HMADNN,5,,,20.7,7,4.9,,,3.6,0.6,0.857142857,,,,,,39,32,0,7,82.05128205,0
HMA,D,NN,HMADNN,6,,,20.2,9.6,7.4,,,3.2,1.3,1.686486486,,,,,,48,21,1,26,43.75,2.083333333
HMA,D,NN,HMADNN,7,,,18.2,6.9,4.2,,,2.9,0.5,0.821428571,,,,,,66,40,10,16,60.60606061,15.15151515
HMA,D,NN,HMADNN,8,,,19.8,10.8,8.6,,,3.2,1.4,1.758139535,,,,,,53,42,0,11,79.24528302,0
HMA,N,NN,HMANNN,1,,,16.7,11.5,8.1,,,3,1.4,1.987654321,,,,,,11,2,2,7,18.18181818,18.18181818
